date,discount_card,store,product_name,card_code,customer_address,customer_phone,issue_date,date_of_birth,gender,transaction_amount
21.03.2024 08:02:55,2719000000121 (Linda Mccormick),Աջափնյակ,,2719000000121.0,,076429141,29.01.2024,,Женский,1315.87
07.09.2024 12:51:24,2719000000138 (Melissa Bradshaw),Ավան,,2719000000138.0,,058349714,03.09.2024,02.03.1993,Женский,1154.26
05.01.2025 21:17:07,,Կենտրոն,,,,,,,,470.22
25.08.2024 23:57:49,2719000000122 (Andrea Davis),Կենտրոն,,2719000000122.0,,045591265,17.03.2024,,Женский,930.24
19.04.2024 07:08:55,2719000000093 (Mark Hill),Շենգավիթ,,2719000000093.0,,014668171,27.08.2021,18.11.1987,Мужской,1344.66
18.06.2023 00:44:36,2719000000092 (Jessica Meadows),Նոր Նորք,,2719000000092.0,,058116251,22.03.2023,,Женский,632.09
25.07.2023 08:28:27,2719000000065 (Daniel Robinson),Քանաքեռ,,2719000000065.0,,031368654,09.01.2025,,Мужской,2341.14
08.02.2025 02:55:22,,Ավան,,,,,,,,529.86
02.04.2025 07:05:39,,Աջափնյակ,,,,,,,,155.63
22.05.2024 11:25:31,2719000000004 (Patricia Hancock),Քանաքեռ,,2719000000004.0,,036915481,31.10.2024,25.07.2006,Женский,576.62
05.08.2024 17:57:19,2719000000012 (Ruben Baird),Կենտրոն,,2719000000012.0,,059226919,12.05.2022,29.05.1970,Мужской,2412.35
19.06.2024 14:42:00,2719000000115 (Christopher Boyd),Ավան,,2719000000115.0,,083235877,03.02.2024,13.09.1957,Мужской,324.63
13.05.2023 00:18:37,2719000000115 (Christopher Boyd),Էրեբունի,,2719000000115.0,,083235877,03.02.2024,13.09.1957,Мужской,1679.57
02.09.2024 02:25:38,,Շենգավիթ,,,,,,,,1369.09
03.06.2024 13:13:59,2719000000105 (Carrie Hernandez),Կենտրոն,,2719000000105.0,,068319138,21.07.2024,06.12.1983,Женский,468.5
19.07.2024 21:35:41,2719000000108 (Ronald Sanchez),Աջափնյակ,,2719000000108.0,,065814433,16.04.2024,,Мужской,774.68
04.11.2023 03:59:13,2719000000083 (Jason Soto),Էրեբունի,,2719000000083.0,,041474691,25.02.2022,16.03.1988,Мужской,2120.97
08.11.2024 08:34:13,2719000000111 (Kim Stanley),Էրեբունի,,2719000000111.0,,035119718,14.08.2021,02.10.1973,Женский,258.52
19.08.2023 18:23:58,2719000000129 (Cindy Meza),Կենտրոն,,2719000000129.0,,034739841,24.05.2023,22.05.1952,Женский,438.19
12.12.2023 11:38:12,2719000000003 (Stacey Ward),Կենտրոն,,2719000000003.0,,049295247,21.02.2022,09.04.1987,Женский,876.0
28.03.2024 15:31:34,2719000000098 (Michelle Butler),Աջափնյակ,,2719000000098.0,,019184953,24.10.2021,20.11.1966,Женский,1609.85
01.05.2023 11:05:40,,Նոր Նորք,,,,,,,,909.27
19.08.2024 18:48:52,,Աջափնյակ,,,,,,,,755.75
29.01.2024 06:54:03,,Էրեբունի,,,,,,,,275.13
03.11.2023 02:22:32,2719000000029 (Andrea Young),Նոր Նորք,,2719000000029.0,,021819677,03.03.2024,10.05.1972,Женский,3164.89
16.07.2024 11:52:33,,Կենտրոն,,,,,,,,1685.14
18.03.2024 19:18:58,,Կենտրոն,,,,,,,,423.11
22.09.2023 17:43:03,2719000000031 (Laura Kennedy),Կենտրոն,,2719000000031.0,,027639661,29.08.2024,05.07.1971,Женский,1728.76
27.09.2024 06:42:43,2719000000047 (Matthew Cunningham),Աջափնյակ,,2719000000047.0,,016789225,02.09.2022,06.12.2002,Мужской,261.81
30.09.2024 06:21:43,2719000000040 (Jessica Reed),Շենգավիթ,,2719000000040.0,,029228973,28.10.2023,,Женский,326.62
05.07.2023 17:53:35,,Նոր Նորք,,,,,,,,785.5
09.06.2024 20:23:33,2719000000016 (Taylor Romero),Ավան,,2719000000016.0,,038293582,24.10.2024,01.07.1939,Женский,639.65
04.02.2024 08:04:28,2719000000094 (Dillon Stanley),Կենտրոն,,2719000000094.0,,079323167,23.05.2023,19.08.1980,Мужской,1479.34
21.06.2023 19:34:02,2719000000041 (Heather Phillips),Շենգավիթ,,2719000000041.0,,037144781,19.04.2024,01.06.1959,Женский,1115.82
11.06.2024 20:23:31,2719000000077 (Jorge Leon),Քանաքեռ,,2719000000077.0,,015919867,16.09.2024,,Мужской,1105.54
25.06.2024 20:21:22,2719000000017 (Diane Evans),Կենտրոն,,2719000000017.0,,095254762,27.10.2023,15.10.1978,Женский,452.83
28.05.2024 07:12:25,,Նոր Նորք,,,,,,,,35.24
31.12.2024 01:43:18,2719000000147 (Kelly Ramos),Էրեբունի,,2719000000147.0,,026236589,05.07.2022,03.09.1951,Женский,2113.33
28.05.2024 12:42:15,2719000000006 (Jamie Chavez),Նոր Նորք,,2719000000006.0,,058991979,14.11.2024,24.02.1964,Женский,1055.0
03.07.2024 16:04:28,2719000000132 (Russell Stephenson),Աջափնյակ,,2719000000132.0,,028187731,26.06.2021,14.05.1984,Мужской,581.79
16.05.2023 00:59:32,2719000000117 (Samuel White),Կենտրոն,,2719000000117.0,,072374159,24.03.2022,21.06.1963,Мужской,2297.56
27.02.2024 12:31:06,,Էրեբունի,,,,,,,,246.68
08.03.2025 14:00:40,2719000000031 (Amanda Jones),Էրեբունի,,2719000000031.0,,084373865,04.01.2024,23.11.1985,Женский,2700.43
29.04.2024 09:53:11,2719000000051 (Samantha Bentley),Շենգավիթ,,2719000000051.0,,044373355,14.10.2021,31.03.1985,Женский,663.62
03.06.2023 01:28:25,,Նոր Նորք,,,,,,,,1310.54
04.09.2024 23:41:44,,Աջափնյակ,,,,,,,,967.2
24.02.2024 17:55:25,2719000000053 (Brenda Shah),Էրեբունի,,2719000000053.0,,049997254,14.08.2022,04.02.2007,Женский,165.3
14.02.2024 04:47:39,2719000000021 (Caitlin Becker),Քանաքեռ,,2719000000021.0,,034868184,11.11.2023,24.08.1943,Женский,904.06
13.11.2023 06:19:00,2719000000040 (Daniel Brown),Նոր Նորք,,2719000000040.0,,082323718,14.06.2024,21.03.1976,Мужской,1091.44
30.11.2024 16:55:27,2719000000133 (Travis Clark),Էրեբունի,,2719000000133.0,,043471637,22.03.2022,01.05.1957,Мужской,463.4
12.05.2023 20:42:37,2719000000099 (Maureen Yates),Կենտրոն,,2719000000099.0,,072771753,27.05.2024,,Женский,1490.88
01.02.2024 14:38:44,2719000000097 (Jennifer Daniels),Նոր Նորք,,2719000000097.0,,073878695,03.02.2023,24.07.1943,Женский,1287.7
01.01.2025 17:00:42,2719000000136 (Kirk Carter),Աջափնյակ,,2719000000136.0,,016231982,23.04.2022,05.12.1958,Мужской,1709.45
21.06.2023 17:20:05,,Նոր Նորք,,,,,,,,2847.09
23.01.2024 01:31:03,,Նոր Նորք,,,,,,,,1714.37
03.11.2023 12:50:46,2719000000120 (Douglas Ortiz),Աջափնյակ,,2719000000120.0,,046326555,06.10.2022,10.07.1985,Мужской,770.21
19.11.2024 12:56:39,2719000000122 (Andrea Davis),Կենտրոն,,2719000000122.0,,045591265,17.03.2024,18.08.1965,Женский,658.8
21.09.2024 15:14:49,2719000000046 (Kent Williams),Էրեբունի,,2719000000046.0,,097575372,03.09.2021,07.11.1967,Мужской,1218.3
30.08.2024 05:29:31,2719000000052 (David Johnson),Ավան,,2719000000052.0,,061889922,31.01.2025,04.07.2003,Мужской,2815.07
19.07.2023 18:22:04,2719000000037 (Alexis Davis),Էրեբունի,,2719000000037.0,,057415765,12.07.2024,,Женский,2875.08
19.12.2024 11:45:40,,Քանաքեռ,,,,,,,,1015.6
25.07.2024 05:23:50,2719000000058 (Brett Burns),Շենգավիթ,,2719000000058.0,,037865183,22.01.2023,24.03.2003,Мужской,1817.38
21.11.2024 06:48:43,2719000000055 (David Odonnell),Կենտրոն,,2719000000055.0,,059282578,16.07.2021,09.08.1945,Мужской,728.04
07.12.2024 23:27:03,2719000000017 (Diane Evans),Աջափնյակ,,2719000000017.0,,095254762,27.10.2023,15.10.1978,Женский,723.28
13.01.2024 12:31:46,2719000000035 (Steven Williams),Շենգավիթ,,2719000000035.0,,065416238,16.09.2024,21.02.1943,Мужской,2518.83
11.08.2023 20:52:06,2719000000087 (Christopher Rubio),Աջափնյակ,,2719000000087.0,,084458581,12.07.2023,08.12.1970,Мужской,1686.72
03.06.2023 16:24:37,2719000000051 (Samantha Bentley),Աջափնյակ,,2719000000051.0,,044373355,14.10.2021,,Женский,882.1
28.01.2024 21:15:48,2719000000140 (Dominique Hines),Աջափնյակ,,2719000000140.0,,022829191,26.06.2022,24.11.1969,Женский,1079.16
27.06.2024 08:22:02,2719000000051 (Dana Mitchell),Շենգավիթ,,2719000000051.0,,056554334,10.03.2023,22.01.1996,Женский,186.61
18.01.2024 04:54:41,2719000000109 (Eric Sutton),Քանաքեռ,,2719000000109.0,,029259981,01.10.2024,24.07.1947,Мужской,530.09
21.01.2025 02:50:15,,Ավան,,,,,,,,271.99
10.09.2024 12:30:43,,Նոր Նորք,,,,,,,,1201.21
13.09.2023 05:49:52,2719000000063 (Richard Sanchez),Շենգավիթ,,2719000000063.0,,068756494,10.11.2021,16.11.1992,Мужской,1178.4
03.02.2025 05:24:23,2719000000111 (Kim Stanley),Էրեբունի,,2719000000111.0,,035119718,14.08.2021,02.10.1973,Женский,1078.22
25.12.2024 10:12:14,2719000000095 (Amber Foster),Շենգավիթ,,2719000000095.0,,064583341,16.11.2023,19.01.1943,Женский,2143.56
13.10.2024 01:20:29,2719000000121 (Devin King),Քանաքեռ,,2719000000121.0,,084653299,02.11.2021,28.05.1988,Мужской,815.3
25.04.2024 03:07:54,,Էրեբունի,,,,,,,,671.0
21.10.2024 08:55:42,,Էրեբունի,,,,,,,,1377.21
05.05.2024 22:24:03,2719000000138 (Margaret Sawyer),Նոր Նորք,,2719000000138.0,,017748644,07.09.2023,25.11.2002,Женский,2754.42
01.09.2024 22:20:35,2719000000140 (Jessica Stephens),Նոր Նորք,,2719000000140.0,,085226916,30.01.2024,18.06.1949,Женский,1106.72
18.09.2023 19:50:29,2719000000144 (Jonathan Young),Քանաքեռ,,2719000000144.0,,077555181,02.09.2021,01.11.1964,Мужской,1252.12
19.01.2025 13:20:47,2719000000102 (Marie Harrington),Ավան,,2719000000102.0,,087123198,05.02.2024,23.01.1942,Женский,1360.81
12.08.2023 23:46:03,2719000000131 (Ryan Garcia),Աջափնյակ,,2719000000131.0,,065298389,08.08.2024,21.01.1976,Мужской,1829.51
18.06.2023 06:12:45,2719000000092 (Jessica Meadows),Շենգավիթ,,2719000000092.0,,058116251,22.03.2023,18.05.2000,Женский,728.76
06.11.2024 09:58:50,2719000000146 (Laura Hines),Քանաքեռ,,2719000000146.0,,093374875,26.01.2022,05.05.1971,Женский,563.78
23.12.2024 03:10:15,2719000000056 (Mark Calderon),Քանաքեռ,,2719000000056.0,,015961129,06.07.2021,26.07.1939,Мужской,1811.67
19.04.2024 17:41:56,,Շենգավիթ,,,,,,,,1791.3
28.05.2023 23:21:40,,Ավան,,,,,,,,277.41
14.12.2023 04:05:57,2719000000058 (Patrick Arnold),Էրեբունի,,2719000000058.0,,031591341,22.02.2023,29.06.1977,Мужской,555.76
03.10.2023 19:51:42,2719000000106 (Kenneth Odonnell),Կենտրոն,,2719000000106.0,,052613543,03.12.2022,,Мужской,727.6
03.06.2023 06:32:29,,Էրեբունի,,,,,,,,2169.39
03.01.2025 17:16:40,2719000000050 (Michael Chambers),Քանաքեռ,,2719000000050.0,,038381545,24.10.2023,02.04.1965,Мужской,2436.2
02.10.2023 04:19:13,,Կենտրոն,,,,,,,,257.96
18.03.2025 06:15:46,2719000000070 (Erin Johnson),Աջափնյակ,,2719000000070.0,,043924628,20.01.2025,,Женский,1301.88
01.06.2023 19:07:00,2719000000063 (Sharon Cherry),Քանաքեռ,,2719000000063.0,,026523977,09.10.2024,16.05.1951,Женский,1178.54
31.12.2023 09:03:56,,Քանաքեռ,,,,,,,,3189.73
24.04.2025 05:13:46,2719000000039 (Mary Tucker),Ավան,,2719000000039.0,,048231135,17.02.2022,07.07.1959,Женский,573.3
27.12.2023 02:10:00,2719000000056 (Natalie Bautista),Շենգավիթ,,2719000000056.0,,077192558,09.02.2023,17.04.1979,Женский,100.26
03.06.2024 13:22:47,2719000000088 (Holly Farmer),Կենտրոն,,2719000000088.0,,053946263,07.10.2023,18.09.1954,Женский,337.83
04.03.2024 13:22:03,2719000000118 (David Kim),Կենտրոն,,2719000000118.0,,032311658,12.03.2023,26.12.1974,Мужской,454.57
22.01.2025 14:12:15,2719000000128 (Heidi Cox),Էրեբունի,,2719000000128.0,,087932135,03.02.2022,19.01.2004,Женский,430.13
25.06.2024 00:45:33,,Էրեբունի,,,,,,,,2803.03
01.05.2024 22:44:40,2719000000095 (Kimberly Taylor),Կենտրոն,,2719000000095.0,,026126341,23.04.2022,22.05.1965,Женский,1317.49
13.11.2023 00:02:39,,Էրեբունի,,,,,,,,1401.8
28.05.2023 16:35:38,2719000000079 (Erika Vang),Քանաքեռ,,2719000000079.0,,076886331,01.08.2023,23.05.1959,Женский,546.1
05.12.2024 08:17:37,2719000000148 (Ronald Blake),Ավան,,2719000000148.0,,029887423,27.04.2023,,Мужской,1100.28
13.09.2024 17:01:57,2719000000012 (Ruben Baird),Էրեբունի,,2719000000012.0,,059226919,12.05.2022,29.05.1970,Мужской,2266.98
25.09.2023 16:21:34,2719000000140 (Dominique Hines),Նոր Նորք,,2719000000140.0,,022829191,26.06.2022,24.11.1969,Женский,604.87
08.12.2023 11:25:37,2719000000032 (Thomas Bright),Էրեբունի,,2719000000032.0,,019546628,02.07.2024,22.06.1945,Мужской,903.96
01.02.2024 12:24:51,2719000000067 (Alexander Lee),Ավան,,2719000000067.0,,013486782,20.09.2022,13.04.1958,Мужской,1603.01
27.02.2025 21:21:37,,Շենգավիթ,,,,,,,,1435.32
26.12.2024 17:52:30,2719000000032 (Thomas Bright),Աջափնյակ,,2719000000032.0,,019546628,02.07.2024,22.06.1945,Мужской,1566.98
06.06.2023 09:03:54,,Կենտրոն,,,,,,,,1926.26
02.03.2025 17:34:58,2719000000031 (Amanda Jones),Քանաքեռ,,2719000000031.0,,084373865,04.01.2024,,Женский,649.22
20.09.2024 13:39:07,2719000000031 (Amanda Jones),Քանաքեռ,,2719000000031.0,,084373865,04.01.2024,23.11.1985,Женский,1123.63
13.01.2024 01:27:28,2719000000103 (Nicole Herring),Աջափնյակ,,2719000000103.0,,096642756,04.03.2022,07.06.1996,Женский,1579.41
28.11.2023 11:03:36,2719000000058 (Patrick Arnold),Կենտրոն,,2719000000058.0,,031591341,22.02.2023,29.06.1977,Мужской,949.08
04.08.2023 22:18:56,2719000000005 (April Booth),Քանաքեռ,,2719000000005.0,,095551188,16.04.2023,12.06.1967,Женский,187.89
10.01.2025 02:45:21,2719000000148 (Ronald Blake),Նոր Նորք,,2719000000148.0,,029887423,27.04.2023,07.11.1969,Мужской,1478.1
10.02.2024 02:18:28,2719000000115 (Christopher Boyd),Էրեբունի,,2719000000115.0,,083235877,03.02.2024,13.09.1957,Мужской,1370.27
03.04.2024 15:17:50,,Ավան,,,,,,,,668.52
21.03.2025 03:09:49,2719000000072 (Ashley Hamilton),Կենտրոն,,2719000000072.0,,056674879,03.06.2024,02.11.1992,Женский,1832.34
05.03.2024 22:52:46,2719000000071 (Carrie Williams),Նոր Նորք,,2719000000071.0,,094696948,24.06.2024,21.12.1967,Женский,1289.97
27.11.2024 14:11:35,,Կենտրոն,,,,,,,,1226.04
05.04.2024 19:13:05,2719000000057 (Felicia Anderson),Քանաքեռ,,2719000000057.0,,076155635,09.06.2022,27.04.1950,Женский,2290.04
25.03.2025 03:11:05,,Աջափնյակ,,,,,,,,9.53
24.02.2024 13:30:51,2719000000109 (Eric Sutton),Ավան,,2719000000109.0,,029259981,01.10.2024,24.07.1947,Мужской,514.28
18.01.2024 14:02:02,,Ավան,,,,,,,,201.61
22.09.2023 08:27:31,2719000000015 (Donald Tyler),Էրեբունի,,2719000000015.0,,075391113,02.02.2023,14.06.1962,Мужской,1814.71
19.05.2024 15:49:54,2719000000115 (John Hernandez),Նոր Նորք,,2719000000115.0,,062437956,03.08.2021,24.12.1969,Мужской,2670.84
18.10.2024 19:01:30,2719000000064 (Sierra Johnson),Էրեբունի,,2719000000064.0,,084848933,16.06.2024,27.03.2002,Женский,409.75
20.05.2024 16:26:29,,Շենգավիթ,,,,,,,,2066.65
09.02.2024 13:46:34,2719000000105 (Maureen Elliott),Էրեբունի,,2719000000105.0,"г. Katieburgh, ул. Kimberly Estates, д. 1904",065968295,02.04.2022,20.12.1970,Женский,2695.13
17.04.2025 04:19:45,,Ավան,,,,,,,,1277.94
08.01.2025 12:30:45,2719000000037 (Alexis Davis),Կենտրոն,,2719000000037.0,,057415765,12.07.2024,28.01.1997,Женский,782.25
06.06.2024 13:56:12,2719000000073 (Paula Palmer),Նոր Նորք,,2719000000073.0,,048429542,15.10.2021,,Женский,1199.55
23.11.2023 09:58:02,2719000000076 (Frank Ramos),Շենգավիթ,,2719000000076.0,,031628572,13.03.2024,,Мужской,1337.19
11.01.2025 12:24:58,2719000000036 (Edward Brooks),Նոր Նորք,,2719000000036.0,,037495322,11.12.2021,,Мужской,938.23
03.07.2023 09:55:24,2719000000130 (Courtney Mills),Ավան,,2719000000130.0,,019182836,29.03.2023,,Женский,2497.6
14.11.2024 23:42:41,2719000000005 (Victoria Wyatt),Նոր Նորք,,2719000000005.0,,022487985,04.01.2025,,Женский,3265.58
24.03.2024 23:10:50,2719000000136 (Kelsey Burch),Ավան,,2719000000136.0,,027387876,18.10.2024,29.11.1952,Женский,366.12
30.06.2023 13:14:21,2719000000012 (Patricia Brown),Ավան,,2719000000012.0,,047971199,26.10.2024,04.07.1941,Женский,1626.07
29.03.2024 17:01:56,2719000000122 (Andrea Davis),Քանաքեռ,,2719000000122.0,,045591265,17.03.2024,,Женский,1114.15
10.08.2024 04:28:36,2719000000118 (David Kim),Էրեբունի,,2719000000118.0,,032311658,12.03.2023,26.12.1974,Мужской,1514.49
27.01.2025 23:29:09,2719000000095 (Amber Foster),Քանաքեռ,,2719000000095.0,,064583341,16.11.2023,19.01.1943,Женский,871.66
17.09.2023 09:53:09,2719000000020 (Joshua Gibson),Ավան,,2719000000020.0,,097778184,10.09.2022,02.07.1998,Мужской,1548.04
26.06.2024 22:18:47,,Էրեբունի,,,,,,,,951.84
14.12.2023 10:08:10,,Աջափնյակ,,,,,,,,1928.36
04.01.2024 17:44:54,2719000000136 (Kirk Carter),Նոր Նորք,,2719000000136.0,,016231982,23.04.2022,05.12.1958,Мужской,510.62
18.07.2023 22:29:49,2719000000086 (Gary Martinez),Նոր Նորք,,2719000000086.0,,039717552,30.10.2022,09.10.1998,Мужской,1638.92
01.07.2023 10:31:33,2719000000106 (Kenneth Odonnell),Քանաքեռ,,2719000000106.0,,052613543,03.12.2022,25.04.1966,Мужской,1273.47
09.01.2024 22:48:12,2719000000055 (David Odonnell),Նոր Նորք,,2719000000055.0,,059282578,16.07.2021,09.08.1945,Мужской,692.64
24.09.2024 14:21:38,2719000000049 (Alexis Herrera),Շենգավիթ,,2719000000049.0,,035175889,05.04.2023,28.05.1964,Женский,409.64
15.12.2023 21:03:41,,Էրեբունի,,,,,,,,222.11
24.12.2023 07:25:48,2719000000146 (Laura Hines),Նոր Նորք,,2719000000146.0,,093374875,26.01.2022,05.05.1971,Женский,1129.95
10.04.2024 14:24:20,2719000000013 (Juan Reyes),Քանաքեռ,,2719000000013.0,,059426463,31.03.2025,10.02.1980,Мужской,4526.11
10.08.2024 07:36:52,2719000000037 (Joseph Knight),Նոր Նորք,,2719000000037.0,,029296141,11.09.2024,30.07.1951,Мужской,703.45
07.11.2024 16:08:22,,Շենգավիթ,,,,,,,,388.73
26.03.2024 05:18:45,,Քանաքեռ,,,,,,,,270.72
06.09.2023 16:25:01,2719000000139 (Ashley Singleton),Կենտրոն,,2719000000139.0,,045864782,11.12.2024,22.10.1947,Женский,1249.4
17.10.2024 00:04:52,2719000000009 (Madison Ferguson),Կենտրոն,,2719000000009.0,,063135315,14.05.2022,,Женский,430.35
09.04.2024 00:59:07,2719000000139 (Lori Guerrero),Էրեբունի,,2719000000139.0,,096655288,18.04.2025,13.10.1952,Женский,3055.99
28.01.2024 07:14:38,2719000000065 (Gary Galvan),Նոր Նորք,,2719000000065.0,,033552656,26.09.2024,28.11.1984,Мужской,1185.91
11.04.2024 13:02:03,2719000000143 (Hannah Johnson),Ավան,,2719000000143.0,,016835171,20.07.2021,20.04.1966,Женский,1210.86
02.06.2023 03:29:26,2719000000126 (Michele Valentine),Շենգավիթ,,2719000000126.0,,052665675,28.03.2024,01.06.2001,Женский,1033.74
14.11.2024 18:44:08,2719000000000 (Frank Garcia),Կենտրոն,,2719000000000.0,,024673363,03.01.2022,07.10.1961,Мужской,814.15
06.03.2025 00:36:06,,Կենտրոն,,,,,,,,831.27
07.04.2025 07:31:25,2719000000055 (David Odonnell),Կենտրոն,,2719000000055.0,,059282578,16.07.2021,09.08.1945,Мужской,1074.08
29.01.2024 02:06:54,2719000000037 (Joseph Knight),Կենտրոն,,2719000000037.0,,029296141,11.09.2024,30.07.1951,Мужской,1522.2
19.08.2024 19:35:44,2719000000102 (Marie Harrington),Էրեբունի,,2719000000102.0,,087123198,05.02.2024,23.01.1942,Женский,1018.18
02.04.2024 01:48:43,2719000000098 (Michelle Butler),Էրեբունի,,2719000000098.0,,019184953,24.10.2021,,Женский,679.77
29.11.2023 12:00:58,,Կենտրոն,,,,,,,,204.41
07.09.2024 22:30:18,2719000000089 (Jesus Solis),Ավան,,2719000000089.0,,067916738,01.03.2024,20.06.1975,Мужской,261.24
04.01.2025 00:08:57,2719000000013 (Robert Morales),Էրեբունի,,2719000000013.0,,076895138,09.08.2021,06.09.1953,Мужской,1701.3
13.06.2023 19:09:54,,Աջափնյակ,,,,,,,,1676.01
27.06.2023 12:48:07,2719000000066 (Erin Hernandez),Քանաքեռ,,2719000000066.0,,047171241,25.02.2025,18.11.1979,Женский,348.56
02.10.2024 13:42:28,2719000000122 (Andrea Davis),Շենգավիթ,,2719000000122.0,,045591265,17.03.2024,18.08.1965,Женский,777.0
06.09.2024 10:01:42,,Կենտրոն,,,,,,,,2139.04
10.03.2024 18:14:27,2719000000121 (Devin King),Աջափնյակ,,2719000000121.0,,084653299,02.11.2021,28.05.1988,Мужской,2446.65
06.02.2024 10:32:37,2719000000064 (Sierra Johnson),Կենտրոն,,2719000000064.0,,084848933,16.06.2024,27.03.2002,Женский,2191.05
01.06.2024 18:32:59,2719000000145 (Danny Flores),Կենտրոն,,2719000000145.0,,095433515,29.09.2021,,Мужской,2364.32
11.01.2025 11:26:40,,Ավան,,,,,,,,539.51
02.12.2024 17:02:41,2719000000008 (Debra Anderson),Շենգավիթ,,2719000000008.0,,092978276,20.07.2022,,Женский,1234.03
08.10.2024 23:03:54,2719000000102 (Marie Harrington),Քանաքեռ,,2719000000102.0,,087123198,05.02.2024,23.01.1942,Женский,803.88
01.09.2023 12:18:07,2719000000059 (Adam Jones),Քանաքեռ,,2719000000059.0,,087266321,29.01.2025,07.05.1986,Мужской,603.62
24.05.2023 10:26:11,2719000000121 (Devin King),Ավան,,2719000000121.0,,084653299,02.11.2021,28.05.1988,Мужской,862.84
19.08.2023 03:32:07,2719000000095 (Kimberly Taylor),Շենգավիթ,,2719000000095.0,,026126341,23.04.2022,22.05.1965,Женский,1259.86
17.02.2025 10:16:33,,Կենտրոն,,,,,,,,1479.83
14.08.2024 03:54:47,2719000000146 (Michelle Rogers),Կենտրոն,,2719000000146.0,,093239792,11.12.2021,08.09.1948,Женский,1791.12
07.10.2024 22:25:33,2719000000149 (Tracy Harrison),Էրեբունի,,2719000000149.0,,048213945,23.01.2023,,Женский,1057.97
27.12.2024 02:38:38,2719000000112 (Matthew Smith),Կենտրոն,,2719000000112.0,,017566892,10.02.2023,14.04.1995,Мужской,761.42
04.04.2024 14:04:00,,Էրեբունի,,,,,,,,1880.56
27.05.2023 06:37:59,,Էրեբունի,,,,,,,,927.86
06.08.2023 07:01:53,2719000000093 (Mark Hill),Էրեբունի,,2719000000093.0,,014668171,27.08.2021,18.11.1987,Мужской,684.32
21.06.2023 11:15:14,,Ավան,,,,,,,,328.48
30.10.2023 13:12:21,2719000000058 (Brett Burns),Նոր Նորք,,2719000000058.0,,037865183,22.01.2023,,Мужской,606.9
24.12.2024 22:30:42,2719000000017 (Natasha Ryan),Կենտրոն,,2719000000017.0,,042661963,02.07.2024,07.02.1979,Женский,919.96
12.09.2024 08:38:27,2719000000088 (Holly Farmer),Քանաքեռ,,2719000000088.0,,053946263,07.10.2023,18.09.1954,Женский,1032.35
08.02.2024 18:47:27,2719000000071 (Debbie Carpenter),Էրեբունի,,2719000000071.0,,095642865,15.06.2022,04.12.1941,Женский,1383.89
05.02.2024 12:54:34,,Ավան,,,,,,,,1358.89
21.02.2024 14:51:23,,Ավան,,,,,,,,1401.26
13.07.2024 20:08:23,,Աջափնյակ,,,,,,,,499.22
25.05.2023 09:38:22,,Քանաքեռ,,,,,,,,1865.66
12.08.2024 05:43:06,2719000000077 (Karen Morales),Էրեբունի,,2719000000077.0,,082976112,29.03.2024,02.09.1946,Женский,1314.5
27.08.2023 10:13:40,2719000000026 (Pedro Vaughn),Էրեբունի,,2719000000026.0,,034311563,10.05.2024,14.07.1960,Мужской,496.41
